Hand(hand='acdei', bid=355, type=1, og_hand='2456T')
Hand(hand='dicak', bid=443, type=1, og_hand='5T42Q')
Hand(hand='dilgf', bid=861, type=1, og_hand='5TK87')
Hand(hand='dmeka', bid=43, type=1, og_hand='5A6Q2')
Hand(hand='eafhi', bid=857, type=1, og_hand='6279T')
Hand(hand='ebamf', bid=447, type=1, og_hand='632A7')
Hand(hand='egldh', bid=648, type=1, og_hand='68K59')
Hand(hand='ekfic', bid=460, type=1, og_hand='6Q7T4')
Hand(hand='fbeka', bid=968, type=1, og_hand='736Q2')
Hand(hand='fcagd', bid=217, type=1, og_hand='74285')
Hand(hand='fdhib', bid=181, type=1, og_hand='759T3')
Hand(hand='feldm', bid=468, type=1, og_hand='76K5A')
Hand(hand='femhl', bid=370, type=1, og_hand='76A9K')
Hand(hand='fgmih', bid=864, type=1, og_hand='78AT9')
Hand(hand='fhikc', bid=366, type=1, og_hand='79TQ4')
Hand(hand='fidbk', bid=178, type=1, og_hand='7T53Q')
Hand(hand='fimkg', bid=649, type=1, og_hand='7TAQ8')
Hand(hand='flakb', bid=672, type=1, og_hand='7K2Q3')
Hand(hand='flbae', bid=86, type=1, og_hand='7K326')
Hand(hand='fldhc', bid=483, type=1, og_hand='7K594')
Hand(hand='fmdie', bid=510, type=1, og_hand='7A5T6')
Hand(hand='gambc', bid=915, type=1, og_hand='82A34')
Hand(hand='gblfe', bid=751, type=1, og_hand='83K76')
Hand(hand='gdkfh', bid=14, type=1, og_hand='85Q79')
Hand(hand='gefkc', bid=106, type=1, og_hand='867Q4')
Hand(hand='gekha', bid=802, type=1, og_hand='86Q92')
Hand(hand='gfbak', bid=461, type=1, og_hand='8732Q')
Hand(hand='gfcdi', bid=54, type=1, og_hand='8745T')
Hand(hand='gheaf', bid=360, type=1, og_hand='89627')
Hand(hand='gkebc', bid=380, type=1, og_hand='8Q634')
Hand(hand='gklcd', bid=419, type=1, og_hand='8QK45')
Hand(hand='glchf', bid=680, type=1, og_hand='8K497')
Hand(hand='glmei', bid=931, type=1, og_hand='8KA6T')
Hand(hand='gmake', bid=81, type=1, og_hand='8A2Q6')
Hand(hand='hagde', bid=963, type=1, og_hand='92856')
Hand(hand='hbcki', bid=614, type=1, og_hand='934QT')
Hand(hand='hblec', bid=369, type=1, og_hand='93K64')
Hand(hand='hdcmg', bid=395, type=1, og_hand='954A8')
Hand(hand='hdfic', bid=621, type=1, og_hand='957T4')
Hand(hand='hfekc', bid=667, type=1, og_hand='976Q4')
Hand(hand='hflek', bid=110, type=1, og_hand='97K6Q')
Hand(hand='hglib', bid=438, type=1, og_hand='98KT3')
Hand(hand='hifme', bid=310, type=1, og_hand='9T7A6')
Hand(hand='hkgcb', bid=220, type=1, og_hand='9Q843')
Hand(hand='hldbe', bid=485, type=1, og_hand='9K536')
Hand(hand='hmcfk', bid=133, type=1, og_hand='9A47Q')
Hand(hand='ibcgf', bid=275, type=1, og_hand='T3487')
Hand(hand='icblk', bid=305, type=1, og_hand='T43KQ')
Hand(hand='icgal', bid=474, type=1, og_hand='T482K')
Hand(hand='idehg', bid=170, type=1, og_hand='T5698')
Hand(hand='idgcb', bid=670, type=1, og_hand='T5843')
Hand(hand='idmeg', bid=100, type=1, og_hand='T5A68')
Hand(hand='ifgeh', bid=987, type=1, og_hand='T7869')
Hand(hand='igebd', bid=132, type=1, og_hand='T8635')
Hand(hand='ihfgc', bid=706, type=1, og_hand='T9784')
Hand(hand='ikdla', bid=569, type=1, og_hand='TQ5K2')
Hand(hand='kadhg', bid=44, type=1, og_hand='Q2598')
Hand(hand='kbcfm', bid=288, type=1, og_hand='Q347A')
Hand(hand='kbdfg', bid=986, type=1, og_hand='Q3578')
Hand(hand='kghed', bid=144, type=1, og_hand='Q8965')
Hand(hand='khigm', bid=877, type=1, og_hand='Q9T8A')
Hand(hand='kiedh', bid=715, type=1, og_hand='QT659')
Hand(hand='kilhg', bid=780, type=1, og_hand='QTK98')
Hand(hand='klecf', bid=161, type=1, og_hand='QK647')
Hand(hand='lahie', bid=720, type=1, og_hand='K29T6')
Hand(hand='lakie', bid=429, type=1, og_hand='K2QT6')
Hand(hand='lbfkc', bid=253, type=1, og_hand='K37Q4')
Hand(hand='lbgkh', bid=635, type=1, og_hand='K38Q9')
Hand(hand='ledmi', bid=191, type=1, og_hand='K65AT')
Hand(hand='lefki', bid=717, type=1, og_hand='K67QT')
Hand(hand='lehmc', bid=749, type=1, og_hand='K69A4')
Hand(hand='lfmie', bid=724, type=1, og_hand='K7AT6')
Hand(hand='lhgid', bid=432, type=1, og_hand='K98T5')
Hand(hand='lkcgi', bid=955, type=1, og_hand='KQ48T')
Hand(hand='lkmif', bid=124, type=1, og_hand='KQAT7')
Hand(hand='mafgd', bid=607, type=1, og_hand='A2785')
Hand(hand='mbaik', bid=747, type=1, og_hand='A32TQ')
Hand(hand='mbegd', bid=503, type=1, og_hand='A3685')
Hand(hand='mbehc', bid=566, type=1, og_hand='A3694')
Hand(hand='mdaib', bid=205, type=1, og_hand='A52T3')
Hand(hand='mghbc', bid=580, type=1, og_hand='A8934')
Hand(hand='mgibe', bid=896, type=1, og_hand='A8T36')
Hand(hand='mkieh', bid=156, type=1, og_hand='AQT69')
Hand(hand='mldkh', bid=321, type=1, og_hand='AK5Q9')
Hand(hand='mlgdf', bid=893, type=1, og_hand='AK857')
Hand(hand='mlhfa', bid=785, type=1, og_hand='AK972')
Hand(hand='1adhi', bid=260, type=2, og_hand='J259T')
Hand(hand='1amih', bid=985, type=2, og_hand='J2AT9')
Hand(hand='1bhlm', bid=532, type=2, og_hand='J39KA')
Hand(hand='1blhe', bid=393, type=2, og_hand='J3K96')
Hand(hand='1defc', bid=6, type=2, og_hand='J5674')
Hand(hand='1dhei', bid=686, type=2, og_hand='J596T')
Hand(hand='1dhke', bid=29, type=2, og_hand='J59Q6')
Hand(hand='1dmke', bid=325, type=2, og_hand='J5AQ6')
Hand(hand='1elbg', bid=769, type=2, og_hand='J6K38')
Hand(hand='1fail', bid=59, type=2, og_hand='J72TK')
Hand(hand='1fiba', bid=882, type=2, og_hand='J7T32')
Hand(hand='1keah', bid=233, type=2, og_hand='JQ629')
Hand(hand='1lgda', bid=604, type=2, og_hand='JK852')
Hand(hand='1lhdm', bid=80, type=2, og_hand='JK95A')
Hand(hand='1mdle', bid=838, type=2, og_hand='JA5K6')
Hand(hand='a1efb', bid=492, type=2, og_hand='2J673')
Hand(hand='aacif', bid=434, type=2, og_hand='224T7')
Hand(hand='aalch', bid=692, type=2, og_hand='22K49')
Hand(hand='aamhf', bid=668, type=2, og_hand='22A97')
Hand(hand='acbgg', bid=61, type=2, og_hand='24388')
Hand(hand='acddi', bid=661, type=2, og_hand='2455T')
Hand(hand='addlk', bid=469, type=2, og_hand='255KQ')
Hand(hand='ae1hd', bid=572, type=2, og_hand='26J95')
Hand(hand='agccd', bid=591, type=2, og_hand='28445')
Hand(hand='agf1c', bid=681, type=2, og_hand='287J4')
Hand(hand='agmac', bid=743, type=2, og_hand='28A24')
Hand(hand='aiibk', bid=856, type=2, og_hand='2TT3Q')
Hand(hand='akeed', bid=899, type=2, og_hand='2Q665')
Hand(hand='alck1', bid=502, type=2, og_hand='2K4QJ')
Hand(hand='amiha', bid=709, type=2, og_hand='2AT92')
Hand(hand='ba1kg', bid=362, type=2, og_hand='32JQ8')
Hand(hand='bbadf', bid=470, type=2, og_hand='33257')
Hand(hand='bbmhe', bid=53, type=2, og_hand='33A96')
Hand(hand='bcaad', bid=652, type=2, og_hand='34225')
Hand(hand='bckic', bid=162, type=2, og_hand='34QT4')
Hand(hand='bf1dh', bid=520, type=2, og_hand='37J59')
Hand(hand='bgfmm', bid=382, type=2, og_hand='387AA')
Hand(hand='bhhai', bid=678, type=2, og_hand='3992T')
Hand(hand='blhi1', bid=860, type=2, og_hand='3K9TJ')
Hand(hand='c1bhk', bid=643, type=2, og_hand='4J39Q')
Hand(hand='c1kad', bid=804, type=2, og_hand='4JQ25')
Hand(hand='cbcai', bid=768, type=2, og_hand='4342T')
Hand(hand='cbdcl', bid=825, type=2, og_hand='4354K')
Hand(hand='ccefg', bid=135, type=2, og_hand='44678')
Hand(hand='ccgek', bid=282, type=2, og_hand='4486Q')
Hand(hand='cfbdb', bid=830, type=2, og_hand='47353')
Hand(hand='cg1ma', bid=454, type=2, og_hand='48JA2')
Hand(hand='chbhk', bid=246, type=2, og_hand='4939Q')
Hand(hand='cmeek', bid=803, type=2, og_hand='4A66Q')
Hand(hand='d1afh', bid=225, type=2, og_hand='5J279')
Hand(hand='d1gkb', bid=239, type=2, og_hand='5J8Q3')
Hand(hand='daaki', bid=632, type=2, og_hand='522QT')
Hand(hand='dcklc', bid=527, type=2, og_hand='54QK4')
Hand(hand='ddbkl', bid=654, type=2, og_hand='553QK')
Hand(hand='deage', bid=457, type=2, og_hand='56286')
Hand(hand='dekem', bid=909, type=2, og_hand='56Q6A')
Hand(hand='dgdlc', bid=85, type=2, og_hand='585K4')
Hand(hand='dgffe', bid=385, type=2, og_hand='58776')
Hand(hand='dgmgc', bid=613, type=2, og_hand='58A84')
Hand(hand='dhdfa', bid=109, type=2, og_hand='59572')
Hand(hand='di1km', bid=511, type=2, og_hand='5TJQA')
Hand(hand='dkikf', bid=353, type=2, og_hand='5QTQ7')
Hand(hand='dlkhk', bid=754, type=2, og_hand='5KQ9Q')
Hand(hand='dlmme', bid=765, type=2, og_hand='5KAA6')
Hand(hand='dmegg', bid=140, type=2, og_hand='5A688')
Hand(hand='dmiaa', bid=519, type=2, og_hand='5AT22')
Hand(hand='dmmbe', bid=411, type=2, og_hand='5AA36')
Hand(hand='e1hcb', bid=119, type=2, og_hand='6J943')
Hand(hand='eabh1', bid=662, type=2, og_hand='6239J')
Hand(hand='eahce', bid=760, type=2, og_hand='62946')
Hand(hand='eam1g', bid=127, type=2, og_hand='62AJ8')
Hand(hand='echca', bid=907, type=2, og_hand='64942')
Hand(hand='edamm', bid=702, type=2, og_hand='652AA')
Hand(hand='eeaik', bid=175, type=2, og_hand='662TQ')
Hand(hand='eebcf', bid=741, type=2, og_hand='66347')
Hand(hand='eedil', bid=820, type=2, og_hand='665TK')
Hand(hand='eehfa', bid=671, type=2, og_hand='66972')
Hand(hand='eelka', bid=517, type=2, og_hand='66KQ2')
Hand(hand='effkb', bid=776, type=2, og_hand='677Q3')
Hand(hand='egcll', bid=731, type=2, og_hand='684KK')
Hand(hand='egkce', bid=733, type=2, og_hand='68Q46')
Hand(hand='ehaie', bid=88, type=2, og_hand='692T6')
Hand(hand='ehhif', bid=766, type=2, og_hand='699T7')
Hand(hand='ehkfk', bid=97, type=2, og_hand='69Q7Q')
Hand(hand='ek1ia', bid=529, type=2, og_hand='6QJT2')
Hand(hand='ekchh', bid=630, type=2, og_hand='6Q499')
Hand(hand='ekikf', bid=442, type=2, og_hand='6QTQ7')
Hand(hand='eldb1', bid=615, type=2, og_hand='6K53J')
Hand(hand='elegk', bid=176, type=2, og_hand='6K68Q')
Hand(hand='elkce', bid=634, type=2, og_hand='6KQ46')
Hand(hand='ellgm', bid=389, type=2, og_hand='6KK8A')
Hand(hand='f1gkd', bid=50, type=2, og_hand='7J8Q5')
Hand(hand='f1hik', bid=277, type=2, og_hand='7J9TQ')
Hand(hand='f1ihb', bid=290, type=2, og_hand='7JT93')
Hand(hand='fadba', bid=414, type=2, og_hand='72532')
Hand(hand='fadma', bid=693, type=2, og_hand='725A2')
Hand(hand='fblil', bid=121, type=2, og_hand='73KTK')
Hand(hand='fc1gi', bid=875, type=2, og_hand='74J8T')
Hand(hand='fche1', bid=488, type=2, og_hand='7496J')
Hand(hand='fdbfm', bid=952, type=2, og_hand='7537A')
Hand(hand='fdfik', bid=888, type=2, og_hand='757TQ')
Hand(hand='fdlli', bid=727, type=2, og_hand='75KKT')
Hand(hand='fdmb1', bid=916, type=2, og_hand='75A3J')
Hand(hand='fdme1', bid=49, type=2, og_hand='75A6J')
Hand(hand='fe1ci', bid=248, type=2, og_hand='76J4T')
Hand(hand='fecie', bid=700, type=2, og_hand='764T6')
Hand(hand='ffcgm', bid=244, type=2, og_hand='7748A')
Hand(hand='fgegl', bid=826, type=2, og_hand='7868K')
Hand(hand='fgieg', bid=890, type=2, og_hand='78T68')
Hand(hand='fglld', bid=242, type=2, og_hand='78KK5')
Hand(hand='fhca1', bid=736, type=2, og_hand='7942J')
Hand(hand='fi1gm', bid=82, type=2, og_hand='7TJ8A')
Hand(hand='fkfch', bid=417, type=2, og_hand='7Q749')
Hand(hand='flclb', bid=259, type=2, og_hand='7K4K3')
Hand(hand='flikk', bid=703, type=2, og_hand='7KTQQ')
Hand(hand='fmhif', bid=7, type=2, og_hand='7A9T7')
Hand(hand='g1lim', bid=711, type=2, og_hand='8JKTA')
Hand(hand='gckcf', bid=15, type=2, og_hand='84Q47')
Hand(hand='gfglb', bid=653, type=2, og_hand='878K3')
Hand(hand='gfkll', bid=456, type=2, og_hand='87QKK')
Hand(hand='ggkfl', bid=409, type=2, og_hand='88Q7K')
Hand(hand='ghelg', bid=155, type=2, og_hand='896K8')
Hand(hand='ghgbi', bid=150, type=2, og_hand='8983T')
Hand(hand='gicgf', bid=982, type=2, og_hand='8T487')
Hand(hand='gklbl', bid=223, type=2, og_hand='8QK3K')
Hand(hand='hbfkk', bid=184, type=2, og_hand='937QQ')
Hand(hand='hcffb', bid=710, type=2, og_hand='94773')
Hand(hand='hd1gl', bid=489, type=2, og_hand='95J8K')
Hand(hand='hdamh', bid=400, type=2, og_hand='952A9')
Hand(hand='hdfgh', bid=959, type=2, og_hand='95789')
Hand(hand='heal1', bid=33, type=2, og_hand='962KJ')
Hand(hand='hekc1', bid=368, type=2, og_hand='96Q4J')
Hand(hand='hfi1m', bid=496, type=2, og_hand='97TJA')
Hand(hand='hfli1', bid=357, type=2, og_hand='97KTJ')
Hand(hand='hg1ef', bid=753, type=2, og_hand='98J67')
Hand(hand='hilgi', bid=491, type=2, og_hand='9TK8T')
Hand(hand='hillf', bid=627, type=2, og_hand='9TKK7')
Hand(hand='hmhel', bid=658, type=2, og_hand='9A96K')
Hand(hand='i1bcg', bid=116, type=2, og_hand='TJ348')
Hand(hand='iafcc', bid=937, type=2, og_hand='T2744')
Hand(hand='idb1a', bid=283, type=2, og_hand='T53J2')
Hand(hand='idhmh', bid=139, type=2, og_hand='T59A9')
Hand(hand='idifc', bid=118, type=2, og_hand='T5T74')
Hand(hand='idilh', bid=920, type=2, og_hand='T5TK9')
Hand(hand='iehig', bid=35, type=2, og_hand='T69T8')
Hand(hand='iek1l', bid=324, type=2, og_hand='T6QJK')
Hand(hand='ifcdf', bid=849, type=2, og_hand='T7457')
Hand(hand='ighhb', bid=568, type=2, og_hand='T8993')
Hand(hand='igifh', bid=979, type=2, og_hand='T8T79')
Hand(hand='ihfdd', bid=297, type=2, og_hand='T9755')
Hand(hand='ihhgc', bid=9, type=2, og_hand='T9984')
Hand(hand='ihlei', bid=274, type=2, og_hand='T9K6T')
Hand(hand='iibag', bid=213, type=2, og_hand='TT328')
Hand(hand='il1ma', bid=834, type=2, og_hand='TKJA2')
Hand(hand='ilacc', bid=199, type=2, og_hand='TK244')
Hand(hand='ilk1m', bid=228, type=2, og_hand='TKQJA')
Hand(hand='imeek', bid=914, type=2, og_hand='TA66Q')
Hand(hand='imidb', bid=746, type=2, og_hand='TAT53')
Hand(hand='k1ced', bid=79, type=2, og_hand='QJ465')
Hand(hand='k1dif', bid=602, type=2, og_hand='QJ5T7')
Hand(hand='k1ghm', bid=610, type=2, og_hand='QJ89A')
Hand(hand='k1igf', bid=58, type=2, og_hand='QJT87')
Hand(hand='kakfi', bid=666, type=2, og_hand='Q2Q7T')
Hand(hand='kcaab', bid=374, type=2, og_hand='Q4223')
Hand(hand='kcbgc', bid=538, type=2, og_hand='Q4384')
Hand(hand='kclaa', bid=107, type=2, og_hand='Q4K22')
Hand(hand='kdb1f', bid=267, type=2, og_hand='Q53J7')
Hand(hand='kdgbk', bid=251, type=2, og_hand='Q583Q')
Hand(hand='kdgdb', bid=948, type=2, og_hand='Q5853')
Hand(hand='kdgeg', bid=505, type=2, og_hand='Q5868')
Hand(hand='kdibd', bid=376, type=2, og_hand='Q5T35')
Hand(hand='kdike', bid=845, type=2, og_hand='Q5TQ6')
Hand(hand='kefem', bid=926, type=2, og_hand='Q676A')
Hand(hand='keieh', bid=278, type=2, og_hand='Q6T69')
Hand(hand='kemeg', bid=114, type=2, og_hand='Q6A68')
Hand(hand='kg1bl', bid=918, type=2, og_hand='Q8J3K')
Hand(hand='kgbgm', bid=304, type=2, og_hand='Q838A')
Hand(hand='kgda1', bid=423, type=2, og_hand='Q852J')
Hand(hand='kgkcm', bid=970, type=2, og_hand='Q8Q4A')
Hand(hand='khkea', bid=788, type=2, og_hand='Q9Q62')
Hand(hand='kih1m', bid=24, type=2, og_hand='QT9JA')
Hand(hand='kkhdc', bid=598, type=2, og_hand='QQ954')
Hand(hand='klaam', bid=41, type=2, og_hand='QK22A')
Hand(hand='kmcii', bid=561, type=2, og_hand='QA4TT')
Hand(hand='laih1', bid=939, type=2, og_hand='K2T9J')
Hand(hand='lakil', bid=824, type=2, og_hand='K2QTK')
Hand(hand='lbggi', bid=11, type=2, og_hand='K388T')
Hand(hand='lch1f', bid=697, type=2, og_hand='K49J7')
Hand(hand='lciib', bid=431, type=2, og_hand='K4TT3')
Hand(hand='lcim1', bid=252, type=2, og_hand='K4TAJ')
Hand(hand='lckd1', bid=122, type=2, og_hand='K4Q5J')
Hand(hand='lehcc', bid=256, type=2, og_hand='K6944')
Hand(hand='lelkg', bid=657, type=2, og_hand='K6KQ8')
Hand(hand='lfbh1', bid=996, type=2, og_hand='K739J')
Hand(hand='lfdbf', bid=567, type=2, og_hand='K7537')
Hand(hand='lhkhb', bid=249, type=2, og_hand='K9Q93')
Hand(hand='lhmgh', bid=425, type=2, og_hand='K9A89')
Hand(hand='ligcc', bid=676, type=2, og_hand='KT844')
Hand(hand='lkbkf', bid=412, type=2, og_hand='KQ3Q7')
Hand(hand='llcmk', bid=229, type=2, og_hand='KK4AQ')
Hand(hand='lmlei', bid=512, type=2, og_hand='KAK6T')
Hand(hand='m1dkh', bid=70, type=2, og_hand='AJ5Q9')
Hand(hand='madcd', bid=516, type=2, og_hand='A2545')
Hand(hand='madii', bid=12, type=2, og_hand='A25TT')
Hand(hand='md1lc', bid=571, type=2, og_hand='A5JK4')
Hand(hand='mddei', bid=347, type=2, og_hand='A556T')
Hand(hand='mdmkl', bid=878, type=2, og_hand='A5AQK')
Hand(hand='meiih', bid=639, type=2, og_hand='A6TT9')
Hand(hand='mfemk', bid=112, type=2, og_hand='A76AQ')
Hand(hand='mfmca', bid=535, type=2, og_hand='A7A42')
Hand(hand='mgfii', bid=537, type=2, og_hand='A87TT')
Hand(hand='mhkee', bid=317, type=2, og_hand='A9Q66')
Hand(hand='mi1ec', bid=402, type=2, og_hand='ATJ64')
Hand(hand='mifdi', bid=498, type=2, og_hand='AT75T')
Hand(hand='mkfmh', bid=230, type=2, og_hand='AQ7A9')
Hand(hand='mlbk1', bid=182, type=2, og_hand='AK3QJ')
Hand(hand='mmdkg', bid=722, type=2, og_hand='AA5Q8')
Hand(hand='mmlhi', bid=949, type=2, og_hand='AAK9T')
Hand(hand='aambb', bid=306, type=3, og_hand='22A33')
Hand(hand='accam', bid=47, type=3, og_hand='2442A')
Hand(hand='accka', bid=683, type=3, og_hand='244Q2')
Hand(hand='addff', bid=428, type=3, og_hand='25577')
Hand(hand='aeffa', bid=592, type=3, og_hand='26772')
Hand(hand='affga', bid=148, type=3, og_hand='27782')
Hand(hand='agmga', bid=718, type=3, og_hand='28A82')
Hand(hand='ahcch', bid=832, type=3, og_hand='29449')
Hand(hand='akmka', bid=125, type=3, og_hand='2QAQ2')
Hand(hand='bcdbd', bid=39, type=3, og_hand='34535')
Hand(hand='bebkk', bid=23, type=3, og_hand='363QQ')
Hand(hand='bembe', bid=792, type=3, og_hand='36A36')
Hand(hand='bffbc', bid=444, type=3, og_hand='37734')
Hand(hand='bibic', bid=596, type=3, og_hand='3T3T4')
Hand(hand='biigg', bid=331, type=3, og_hand='3TT88')
Hand(hand='blbii', bid=209, type=3, og_hand='3K3TT')
Hand(hand='bmhhm', bid=465, type=3, og_hand='3A99A')
Hand(hand='cabbc', bid=28, type=3, og_hand='42334')
Hand(hand='ccbdd', bid=478, type=3, og_hand='44355')
Hand(hand='cckdk', bid=867, type=3, og_hand='44Q5Q')
Hand(hand='cckgk', bid=616, type=3, og_hand='44Q8Q')
Hand(hand='cckhh', bid=929, type=3, og_hand='44Q99')
Hand(hand='ceech', bid=526, type=3, og_hand='46649')
Hand(hand='clchh', bid=701, type=3, og_hand='4K499')
Hand(hand='daahd', bid=371, type=3, og_hand='52295')
Hand(hand='daead', bid=642, type=3, og_hand='52625')
Hand(hand='ddeei', bid=507, type=3, og_hand='5566T')
Hand(hand='ddhkh', bid=628, type=3, og_hand='559Q9')
Hand(hand='ddlel', bid=295, type=3, og_hand='55K6K')
Hand(hand='deaae', bid=449, type=3, og_hand='56226')
Hand(hand='dfidi', bid=828, type=3, og_hand='57T5T')
Hand(hand='dfmfm', bid=917, type=3, og_hand='57A7A')
Hand(hand='dgghd', bid=938, type=3, og_hand='58895')
Hand(hand='dgkkd', bid=534, type=3, og_hand='58QQ5')
Hand(hand='dkcdk', bid=344, type=3, og_hand='5Q45Q')
Hand(hand='dlhld', bid=549, type=3, og_hand='5K9K5')
Hand(hand='dmdfm', bid=254, type=3, og_hand='5A57A')
Hand(hand='dmmdc', bid=555, type=3, og_hand='5AA54')
Hand(hand='ebbhh', bid=390, type=3, og_hand='63399')
Hand(hand='ebgeg', bid=764, type=3, og_hand='63868')
Hand(hand='eceac', bid=584, type=3, og_hand='64624')
Hand(hand='eefif', bid=789, type=3, og_hand='667T7')
Hand(hand='eekki', bid=95, type=3, og_hand='66QQT')
Hand(hand='ehhdd', bid=636, type=3, og_hand='69955')
Hand(hand='elhlh', bid=98, type=3, og_hand='6K9K9')
Hand(hand='fcchh', bid=186, type=3, og_hand='74499')
Hand(hand='fchfh', bid=422, type=3, og_hand='74979')
Hand(hand='fdcfc', bid=521, type=3, og_hand='75474')
Hand(hand='fefge', bid=744, type=3, og_hand='76786')
Hand(hand='ffbbl', bid=647, type=3, og_hand='7733K')
Hand(hand='ffdmd', bid=111, type=3, og_hand='775A5')
Hand(hand='ffhgh', bid=707, type=3, og_hand='77989')
Hand(hand='fgbbf', bid=767, type=3, og_hand='78337')
Hand(hand='fkfdd', bid=309, type=3, og_hand='7Q755')
Hand(hand='fkmkm', bid=420, type=3, og_hand='7QAQA')
Hand(hand='fmcmc', bid=601, type=3, og_hand='7A4A4')
Hand(hand='gccbg', bid=83, type=3, og_hand='84438')
Hand(hand='gccff', bid=332, type=3, og_hand='84477')
Hand(hand='gelel', bid=207, type=3, og_hand='86K6K')
Hand(hand='gffdg', bid=839, type=3, og_hand='87758')
Hand(hand='ggaal', bid=195, type=3, og_hand='8822K')
Hand(hand='ggacc', bid=941, type=3, og_hand='88244')
Hand(hand='ggeke', bid=814, type=3, og_hand='886Q6')
Hand(hand='ghhdd', bid=381, type=3, og_hand='89955')
Hand(hand='ghhii', bid=673, type=3, og_hand='899TT')
Hand(hand='gkiig', bid=964, type=3, og_hand='8QTT8')
Hand(hand='gmgdm', bid=164, type=3, og_hand='8A85A')
Hand(hand='gmmhg', bid=96, type=3, og_hand='8AA98')
Hand(hand='hagha', bid=783, type=3, og_hand='92892')
Hand(hand='haiah', bid=887, type=3, og_hand='92T29')
Hand(hand='heaeh', bid=78, type=3, og_hand='96269')
Hand(hand='heche', bid=990, type=3, og_hand='96496')
Hand(hand='hfhmm', bid=981, type=3, og_hand='979AA')
Hand(hand='hheel', bid=397, type=3, og_hand='9966K')
Hand(hand='hichi', bid=494, type=3, og_hand='9T49T')
Hand(hand='hieei', bid=989, type=3, og_hand='9T66T')
Hand(hand='hiimm', bid=8, type=3, og_hand='9TTAA')
Hand(hand='hkmkm', bid=169, type=3, og_hand='9QAQA')
Hand(hand='hmaha', bid=950, type=3, og_hand='9A292')
Hand(hand='iabia', bid=48, type=3, og_hand='T23T2')
Hand(hand='iaddi', bid=46, type=3, og_hand='T255T')
Hand(hand='iceie', bid=113, type=3, og_hand='T46T6')
Hand(hand='icicd', bid=660, type=3, og_hand='T4T45')
Hand(hand='ieaei', bid=269, type=3, og_hand='T626T')
Hand(hand='iefei', bid=65, type=3, og_hand='T676T')
Hand(hand='ifigf', bid=462, type=3, og_hand='T7T87')
Hand(hand='ifilf', bid=143, type=3, og_hand='T7TK7')
Hand(hand='igeeg', bid=611, type=3, og_hand='T8668')
Hand(hand='iiaca', bid=298, type=3, og_hand='TT242')
Hand(hand='iicfc', bid=192, type=3, og_hand='TT474')
Hand(hand='iiebb', bid=42, type=3, og_hand='TT633')
Hand(hand='iifll', bid=550, type=3, og_hand='TT7KK')
Hand(hand='imdmi', bid=19, type=3, og_hand='TA5AT')
Hand(hand='kahkh', bid=226, type=3, og_hand='Q29Q9')
